time,q0,q1,q2,q3,angle_x,angle_y,angle_z,height
-4.940000000000000391e+00,9.999967366221294007e-01,-2.364614911944319230e-03,8.325972341628593747e-04,4.920602145879303261e-04,-4.728419208207679594e-03,1.667516872795195022e-03,9.801811936518078049e-04,0.000000000000000000e+00
-4.809999999999999609e+00,9.999967905689168823e-01,-2.359284620100174455e-03,8.049769070463693279e-04,4.523716672492240497e-04,-4.717849430880602553e-03,1.612083892342216010e-03,9.009433840888171445e-04,0.000000000000000000e+00
-4.679999999999999716e+00,9.999966994653455288e-01,-2.356527067711524509e-03,7.863089631082482035e-04,6.554058346578225296e-04,-4.712031163480568698e-03,1.575702350951453667e-03,1.307103421090050196e-03,0.000000000000000000e+00
-4.549999999999999822e+00,9.999965476953331933e-01,-2.331960765262210480e-03,7.580108297104698597e-04,9.444448028916583356e-04,-4.662495912432609510e-03,1.520421827891585897e-03,1.885351077825229505e-03,0.000000000000000000e+00
-4.419999999999999929e+00,9.999963482789384628e-01,-2.442304295573835549e-03,7.929366193626632064e-04,8.425141141414091515e-04,-4.883280213995528155e-03,1.589983469164239467e-03,1.681151806919313572e-03,0.000000000000000000e+00
-4.290000000000000036e+00,9.999964868700623732e-01,-2.425740097592530425e-03,6.069575908558218257e-04,8.795652302385172832e-04,-4.850418051529486844e-03,1.218178411652461567e-03,1.756181843470031121e-03,0.000000000000000000e+00
-4.160000000000000142e+00,9.999961542939386216e-01,-2.557287779663760304e-03,7.173027328494025389e-04,7.982188508169568795e-04,-5.113438336640192816e-03,1.438682995552980921e-03,1.592765184984214254e-03,0.000000000000000000e+00
-4.030000000000000249e+00,9.999958075420976034e-01,-2.619757746734288021e-03,8.383058449977162391e-04,9.049922020627558213e-04,-5.238007562476567312e-03,1.681347173710225811e-03,1.805588032591532669e-03,0.000000000000000000e+00
-3.899999999999999911e+00,9.999955598187678651e-01,-2.695150122756384808e-03,8.796939061348991789e-04,9.179581663526441932e-04,-5.388695733759683859e-03,1.764328985748946565e-03,1.831170240083929319e-03,0.000000000000000000e+00
-3.770000000000000018e+00,9.999957444474100177e-01,-2.633734506028412303e-03,6.746132892777953081e-04,1.058029551006914619e-03,-5.266048246277727114e-03,1.354794389171583508e-03,2.112500102354670974e-03,0.000000000000000000e+00
-3.640000000000000124e+00,9.999957780440541510e-01,-2.539520506817696290e-03,7.328153132185565022e-04,1.207357187318266198e-03,-5.077277343598064763e-03,1.471757186602939667e-03,2.410987127754395890e-03,0.000000000000000000e+00
-3.509999999999999787e+00,9.999956804617500250e-01,-2.661635465625926140e-03,6.710495268723725044e-04,1.050926743932768239e-03,-5.321867443517809375e-03,1.347688032242689302e-03,2.098275675598402883e-03,0.000000000000000000e+00
-3.379999999999999893e+00,9.999955710888598359e-01,-2.643419154206310198e-03,9.594952062489836998e-04,9.744263894062818758e-04,-5.284979364234465050e-03,1.924134735509543115e-03,1.943776273733491527e-03,0.000000000000000000e+00
-3.250000000000000000e+00,9.999954383572179362e-01,-2.690925560367557305e-03,1.096741744975330375e-03,8.242220138236960912e-04,-5.380057602506828872e-03,2.197911093847249725e-03,1.642538713217271944e-03,0.000000000000000000e+00
-3.120000000000000107e+00,9.999947657279675273e-01,-2.852030230717754553e-03,1.295443834499376140e-03,8.101021547450339968e-04,-5.701981824700801636e-03,2.595497893400060523e-03,1.612812670581087980e-03,0.000000000000000000e+00
-2.990000000000000213e+00,9.999945618439091133e-01,-2.925720246155858861e-03,1.339531900139535317e-03,7.225634483571834795e-04,-5.849527294628079077e-03,2.683280488064754103e-03,1.437286515765806225e-03,0.000000000000000000e+00
-2.859999999999999876e+00,9.999947249683255324e-01,-2.880381564325748458e-03,1.314762053158004393e-03,7.244572515973656283e-04,-5.758879567049205069e-03,2.633686706791298331e-03,1.441338325195843902e-03,0.000000000000000000e+00
