T,加速度X(G),加速度Y(G),加速度Z(G),加速度合計(G),地磁気X(gauss),地磁気Y(gauss),地磁気Z(gauss),ジャイロX(dps),ジャイロY(dps),ジャイロZ(dps),気圧(hPa),高度(m),気温(℃),飛行状態,,
- 4.16,-0.082,-0.024,1.072,1.080,0.528,-0.647,-0.205,-3.150,3.386,-3.806,980.67,274.84,39.54,0,,
- 4.03,-0.077,-0.028,1.073,1.080,0.528,-0.647,-0.205,-3.089,3.395,-3.640,980.63,275.12,39.54,0,,
- 3.90,-0.070,-0.023,1.071,1.070,0.528,-0.648,-0.205,-3.106,3.325,-3.728,980.73,274.25,39.55,0,,
- 3.77,-0.080,-0.027,1.071,1.070,0.528,-0.646,-0.205,-2.975,3.106,-3.605,980.71,274.47,39.55,0,,
- 3.64,-0.078,-0.034,1.072,1.080,0.528,-0.648,-0.206,-2.949,3.343,-3.605,980.62,275.27,39.55,0,,
- 3.51,-0.083,-0.020,1.067,1.070,0.528,-0.648,-0.206,-3.141,3.238,-3.876,980.65,274.97,39.54,0,,
- 3.38,-0.081,-0.022,1.076,1.080,0.528,-0.648,-0.207,-3.010,3.553,-3.806,980.71,274.47,39.54,0,,
- 3.25,-0.078,-0.030,1.073,1.080,0.528,-0.647,-0.207,-3.063,3.421,-3.868,980.64,275.04,39.54,0,,
- 3.12,-0.078,-0.023,1.067,1.070,0.528,-0.648,-0.203,-3.194,3.456,-3.754,980.63,275.14,39.54,0,,
- 2.99,-0.074,-0.026,1.069,1.070,0.528,-0.647,-0.204,-3.106,3.325,-3.815,980.59,275.47,39.54,0,,
- 2.86,-0.085,-0.034,1.070,1.070,0.528,-0.647,-0.204,-3.001,3.264,-3.736,980.61,275.32,39.54,0,,
- 2.72,-0.076,-0.023,1.075,1.080,0.528,-0.648,-0.206,-3.045,3.343,-3.701,980.66,274.9,39.55,0,,
- 2.59,-0.083,-0.026,1.077,1.080,0.528,-0.647,-0.206,-3.036,3.325,-3.500,980.67,274.78,39.54,0,,
- 2.46,-0.081,-0.029,1.074,1.080,0.528,-0.647,-0.206,-2.984,3.290,-3.710,980.56,275.71,39.55,0,,
- 2.33,-0.074,-0.030,1.080,1.080,0.528,-0.648,-0.205,-2.958,3.316,-3.885,980.61,275.3,39.54,0,,
