# time,q0,q1,q2,q3,angle_x,angle_y,angle_z,height
-8.560000000000000497e+00,9.999995210108948429e-01,-2.892672816325672094e-04,5.660312591580222335e-04,7.442519964202647933e-04,5.793772293290725024e-04,-1.131631642092768624e-03,-1.488832251831696818e-03,0.000000000000000000e+00
-8.429999999999999716e+00,9.999994438282089337e-01,-4.316591371981790145e-04,7.088280444152840563e-04,6.508275236824992557e-04,8.642414191955353478e-04,-1.417093903366251507e-03,-1.302267943289158554e-03,0.000000000000000000e+00
-8.310000000000000497e+00,9.999993724876929946e-01,-4.631300750569463547e-04,7.219092221217946609e-04,7.206815029691584357e-04,9.273012006535307416e-04,-1.443150500610160562e-03,-1.442032778632312915e-03,0.000000000000000000e+00
-8.179999999999999716e+00,9.999994907769887975e-01,-4.474342351219128509e-04,5.772865882526046020e-04,6.964112025346698865e-04,8.956727883450633010e-04,-1.153949648242341783e-03,-1.393339669900415037e-03,0.000000000000000000e+00
-8.050000000000000711e+00,9.999994079720396778e-01,-5.302636446314034887e-04,5.813780973413350955e-04,7.515820280853404648e-04,1.061401483875352558e-03,-1.161958694516940314e-03,-1.503781315520967251e-03,0.000000000000000000e+00
-7.919999999999999929e+00,9.999991512751680300e-01,-6.036801280677857534e-04,7.736900483493903014e-04,8.569848047365598125e-04,1.208687052043707190e-03,-1.546344710270707110e-03,-1.714905168283804935e-03,0.000000000000000000e+00
-7.790000000000000036e+00,9.999988871177224459e-01,-7.760766005369798461e-04,8.471563152708072413e-04,9.517324226093490467e-04,1.553766857460510626e-03,-1.692834318967188865e-03,-1.904781524344317453e-03,0.000000000000000000e+00
-7.660000000000000142e+00,9.999985780838255289e-01,-7.795799975474924969e-04,9.596132503084910592e-04,1.146833799804472314e-03,1.561362316537846448e-03,-1.917436849185788971e-03,-2.295166763031097467e-03,0.000000000000000000e+00
-7.530000000000000249e+00,9.999984453622192682e-01,-7.536978336596979189e-04,9.734564466502497026e-04,1.262376832273715173e-03,1.509854491186042071e-03,-1.945008191534532615e-03,-2.526224588899365995e-03,0.000000000000000000e+00
-7.400000000000000355e+00,9.999984673661701517e-01,-8.062001336234898494e-04,1.067572761551684049e-03,1.129422442644153254e-03,1.614813653662897997e-03,-2.133322787807228737e-03,-2.260569847225155516e-03,0.000000000000000000e+00
